Id,bias,Actual_Value,Predicted_Value,Difference,OverallCond,BsmtUnfSF,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,GarageCars,WoodDeckSF,OpenPorchSF,3SsnPorch,ScreenPorch,MSZoning_dum_0,MSZoning_dum_1,Street_dum_Pave,LotShape_dum_0,LotShape_dum_1,LandContour_dum_0,LandSlope_dum_0,LandSlope_dum_1,Neighborhood_dum_0,Neighborhood_dum_2,Neighborhood_dum_3,Neighborhood_dum_4,Condition1_dum_0,Condition2_dum_0,Condition2_dum_2,BldgType_dum_0,BldgType_dum_2,HouseStyle_dum_0,RoofStyle_dum_0,RoofMatl_dum_1,RoofMatl_dum_2,Exterior1st_dum_1,Exterior1st_dum_3,Exterior2nd_dum_3,MasVnrType_dum_1,ExterQual_dum_0,ExterQual_dum_1,ExterCond_dum_2,BsmtQual_dum_1,BsmtCond_dum_1,BsmtCond_dum_2,BsmtExposure_dum_1,BsmtFinType1_dum_0,BsmtFinType1_dum_1,Heating_dum_0,HeatingQC_dum_0,HeatingQC_dum_1,CentralAir_dum_Y,KitchenQual_dum_1,FireplaceQu_dum_0,FireplaceQu_dum_1,FireplaceQu_dum_2,GarageType_dum_0,GarageType_dum_2,PoolQC_dum_0,PoolQC_dum_1,SaleType_dum_2,SaleCondition_dum_0,SaleCondition_dum_1,SaleCondition_dum_2
893,180028.442523,154500,137657.599733,-16842.4002665,4683.95603905,-1372.31588362,-3429.31979691,273.461141795,-2923.97131854,-1395.22275776,-17260.5867102,7011.28798093,-9060.3317085,-94.2871089417,-802.028529388,2081.58502507,-244.058173221,0.0,-1252.36101007,-432.389729724,178.179603974,-223.0344471,0.0,-1103.40103698,-3247.06963827,1661.16011897,-623.782633434,463.478524302,0.0,0.0,665.374418325,46.4857505836,-3280.45626041,5284.79845691,0.0,0.0,-1313.16483075,149.38483674,-281.519467191,-1157.54411308,-8471.99914165,-810.440425788,0.0,-2823.63500045,553.630918269,0.0,-2400.93497629,4025.11589844,1514.39039859,-49.2969299406,-7840.24152155,1105.85817605,934.592712413,-1611.03224784,-3267.90275432,-2694.90576051,-82.7450564002,6647.64515169,63.4981277635,0.0,0.0,-24.4517488385,-864.456535618,724.161184312,0.0
1106,180028.442523,325000,264665.456868,-60334.5431318,543.607189052,1086.15510246,5559.24959839,18.8663339106,6552.64175472,-4284.27956131,-8634.37446699,10437.9012861,-3561.90244807,-95.7681223362,-694.517530649,2016.16466344,-196.549477618,0.0,3488.97015946,-294.327002578,117.536659065,-195.038468146,0.0,6293.20636432,7012.87877906,986.085379462,-594.980975117,458.080744687,0.0,0.0,1159.02794093,33.6140931956,2651.23772768,-3570.84435556,0.0,0.0,-262.069310634,61.7760048237,-289.521710009,-949.361734936,14188.7268277,-1625.90812123,0.0,33328.4696435,116.978929647,0.0,-4215.39402801,7075.26757647,2044.04940675,-45.0532039245,3306.44602258,1267.41010436,309.513007153,-3206.66538068,-1056.16327022,5532.40103965,-282.602717648,4246.92894766,52.5698923072,0.0,0.0,-26.2769025418,-1448.0149114,220.866866678,0.0
414,180028.442523,115000,113617.408465,-1382.59153466,-653.492504219,3016.38824043,-2784.82064862,-19.3741418673,-2970.32628385,-8550.31590536,3790.41184145,-3750.66702723,-6768.16719252,-93.6471274389,-617.245409149,-12477.2370424,-286.21834802,0.0,-1161.25774864,-374.008829132,103.462859701,-157.725935611,0.0,-120.34391004,-1833.14874288,-1072.83499829,-416.261696707,407.479624144,0.0,0.0,582.271563828,58.9196107181,-2561.91603421,-750.137476292,0.0,0.0,-11.5957072111,-6061.59041833,-217.11737246,-766.184611572,-6772.41176445,-781.718864326,0.0,-1353.08330829,615.038602268,0.0,-1603.92350752,-2367.8672051,515.979658389,-50.6170039625,2603.11107248,-5591.3629474,1280.1939077,-1212.08080942,7863.21601897,-1919.02075597,46.6534890041,-10983.4200583,64.7443388547,0.0,0.0,-23.9211180141,-735.697759861,511.855329593,0.0
523,180028.442523,159000,138563.844268,-20436.1557316,4524.95578626,-1731.99719812,-2951.95007684,18.982227756,-3331.68404414,1099.2591567,4672.97381314,-3380.65781807,-3301.78243818,-96.9314476462,-758.335353135,-11486.7377236,-242.615984944,0.0,-1417.52270829,-398.531709885,107.722817171,-209.317595696,0.0,59.9595249006,-1781.6215841,2350.21683985,-242.085576333,-5803.29302244,0.0,0.0,687.935289473,60.026024167,-2860.98042426,-759.191757966,0.0,0.0,-357.889553158,158.675646253,-201.186606281,-765.827270223,-6215.92717165,-791.304826906,0.0,-1559.52683732,684.179097039,0.0,-1685.68248845,-1624.24959573,-1487.54464868,-56.1316580112,2109.26978886,1791.4712461,1072.5903539,-1051.66564726,8587.88968786,-1786.14795645,-1.95363060751,-10790.0641536,56.2867732161,0.0,0.0,-26.2769025418,-803.365283943,452.988367725,0.0
1037,180028.442523,315500,348601.801944,33101.8019442,856.317676707,4286.88280095,7245.43851267,3.09190533528,-5192.79532817,-3170.84071003,44709.6362851,4874.74318191,-12787.7552989,-56.4484344526,-752.250243508,1072.99430814,-157.578940828,0.0,1058.95299892,-312.882202232,276.300595162,-200.776772475,0.0,-7000.50213024,7566.41144229,1585.31459873,-711.130219924,244.001663419,0.0,0.0,552.778422329,31.7783228612,-1890.50184772,11422.5540125,0.0,0.0,281.770839802,39.4710561178,-214.964130062,10839.203922,8646.742953,-3523.25099034,0.0,33021.091326,108.301386485,0.0,19231.8399322,5636.48273632,1097.18086836,-36.7657788353,2811.38363338,1103.12703511,636.236352905,27549.4072232,-1876.4933733,-1192.48391077,7089.78029332,5735.52639552,46.1186770316,0.0,0.0,-17.8191993746,-2108.28953613,116.027111136,0.0
615,180028.442523,75500,98452.4676594,22952.4676594,-628.737689772,-3435.22078712,4523.76573128,-11.0246589456,-3110.18619152,-9118.78599594,-21665.8173356,-4275.47127382,-4171.29223587,-70.5389782755,-512.483380981,-12587.5299161,-205.61210273,0.0,-1189.58571917,-364.598366732,162.437895018,-11.8572814335,0.0,-921.000002195,1237.61127916,-44.1722830175,3593.31629122,376.544950687,0.0,0.0,-6780.24341256,41.2182483562,-1744.52831131,-1243.54416776,0.0,0.0,204.978453554,148.42972671,-130.192698225,-738.814323509,-7532.09803357,-969.873783714,0.0,-2645.80881123,461.491016416,0.0,-1569.86073529,2857.02156841,455.229574737,-40.2860154258,4047.58309415,1699.81158773,1267.24560907,-1213.06529085,-2341.05731338,-1799.48203789,-138.461756676,-10976.9168925,47.9002965064,0.0,0.0,-25.7871047423,-900.261712871,413.636414638,0.0
219,180028.442523,311500,214008.735868,-97491.2641323,15912.0769119,296.921942905,-5837.78678055,-72.6518984245,5290.00063909,-1970.17967916,-92.4968432155,-4440.72923057,9353.54867662,-94.7991101628,-986.392706861,1731.39154657,-383.543167545,0.0,1656.44786405,-381.830384825,70.0028961216,-195.784282122,0.0,-2441.07125732,-3954.43210571,3493.53112751,-472.234867936,468.884339399,0.0,0.0,837.89028617,32.847979983,-3085.85458917,-1614.01932866,0.0,0.0,-843.045783124,101.207516985,-242.285215359,-917.280176275,17520.9610529,-680.604382405,0.0,-2535.83623886,321.774529686,0.0,-2550.8556973,3959.93181476,-6099.06308627,-42.5372222052,2387.44698495,1109.33728475,386.071907033,-1560.62776829,-1849.57202058,8409.8165285,-93.0703421709,4640.42411854,52.3775488031,0.0,0.0,-25.1339666292,-901.398981398,312.516961074,0.0
1161,180028.442523,146000,149930.164577,3930.16457683,-1444.67255393,-2591.36557281,-2901.9720702,-10.4790706377,5296.06312557,-506.049116018,2202.39239111,-4436.55301513,-7882.75629219,-76.4725592426,-837.819848305,3013.2239531,-354.208030943,0.0,-1573.45402841,-378.820776839,30.8245442085,-99.8058822917,0.0,1228.27945467,5427.77725624,-325.776346285,-393.991555259,319.920239616,0.0,0.0,-12356.6538149,24.0800313884,3887.301975,-1029.86907146,0.0,0.0,-852.271931667,163.716739216,5977.98814026,-820.970558026,-8456.13828329,-892.166899086,0.0,-1956.61655208,510.523716253,0.0,-1775.31361014,-2599.42390075,-2940.76687182,-48.856693247,-9233.92230075,-2240.12577924,612.750332527,-1276.20533639,-2116.93531333,8961.57932776,-102.704786155,4750.87078051,43.8574370676,0.0,0.0,-22.9738251069,-565.124464804,551.809320575,0.0
650,180028.442523,84500,87976.5860562,3476.58605617,-441.713277953,-3680.4411133,4037.87384997,-17.3507939806,-2946.53751144,-8902.88641577,-22349.9636179,-3078.64848709,-5300.66508957,-67.990626283,-456.464908456,-13568.075266,-222.448120899,0.0,-1020.87639081,-322.486410643,165.639362566,-3.21047381308,0.0,-1461.33118393,1012.54651329,-413.144712201,2319.95117648,361.631051667,0.0,0.0,-5912.48245369,38.5509401727,-1721.56676017,-874.478598168,0.0,0.0,-61.5702459884,146.756995922,-120.339052906,-691.020312507,-5789.13171048,-953.392376998,0.0,-2282.94127798,486.497844406,0.0,-1443.18584355,2188.10766996,-1829.83914033,-40.1240740313,3275.75490741,-5230.2058647,1394.93695491,-1132.96569144,-2387.14409135,-2016.31439575,-112.994803353,-10168.6654709,54.1126665619,0.0,0.0,-23.4313202145,-892.124501846,403.935986672,0.0
888,180028.442523,135500,151898.613025,16398.6130248,3099.32842959,2288.20459413,-2889.63035871,-10.5346164538,6869.87999451,-1476.62524408,-15432.9713345,2441.33730076,-8214.40736035,-72.1406533379,13717.469264,2337.84393536,-171.917250604,0.0,1155.61215925,-398.582301966,147.276262435,-326.202288738,0.0,359.433292274,-2774.04957997,-787.098364484,-526.228728212,405.927205541,0.0,0.0,904.342263959,49.9930828729,-3532.31609583,-846.510937602,0.0,0.0,-235.65209903,101.949194545,-184.944656361,-653.803162043,-8255.81344973,-814.731199219,0.0,-1754.58271529,476.297860979,0.0,-2445.53292044,-2668.4557394,655.415339043,-49.4742596555,-8347.11443427,924.417167757,831.811745408,-1478.31656727,-2830.72788612,-3183.3212501,-49.6914128306,5815.27888866,58.9032005962,0.0,0.0,-24.1937378788,-947.950703693,612.970628838,0.0
577,180028.442523,145000,143342.975292,-1657.02470822,5543.31377421,2532.62120436,-4040.57037067,-127.501691612,-4437.03034354,820.347183389,-14335.7415763,-3866.92319443,6186.50580756,-80.0542603123,-857.73231524,2544.07239348,-300.257406943,0.0,-886.002100904,-383.048863195,61.3688635328,-217.502785933,0.0,404.95062222,-2566.28293822,-1802.36282411,6900.62967908,378.909524219,0.0,0.0,1212.55634409,48.5862989554,-3432.57975933,-1050.76828206,0.0,0.0,360.618251163,180.30666082,-154.672808999,-823.236386043,-7483.67026521,-853.792006419,0.0,-1683.36484065,797.229751973,0.0,-1958.96126395,-2967.36228033,541.305890809,-49.6842665604,1923.38550614,-3696.88716012,934.095163293,-905.98015065,7606.77319731,-2290.71967805,63.6406279719,-14175.6276462,55.961923439,0.0,0.0,-23.4313202145,-933.7910707,602.893958152,0.0
1253,180028.442523,130000,127087.785614,-2912.21438634,1861.2091586,-2222.30985553,3319.06691054,-9.12809771324,-2954.78426191,-734.469470267,-18159.042886,-5178.38556179,-7708.16938648,-93.3491019478,-830.49906567,2982.01257027,-344.671791787,0.0,-1029.26207512,-445.444404797,189.461964156,-78.2488073878,0.0,-1173.31010488,4179.73497619,571.933493808,-281.866255595,443.173764065,0.0,0.0,787.200133237,57.9827177803,-2599.96460329,-1376.74540341,0.0,0.0,-1100.03314523,197.920572501,-273.932919466,-1064.67487365,-6914.93153827,-899.241424906,0.0,-2265.76177945,637.6748509,0.0,-1992.70954668,3636.378062,-2946.6976162,-53.6444957835,-8284.29264869,905.664850276,1070.8000855,-1317.62471152,-2893.74208314,-3382.92499303,-68.0578099129,5090.32400449,66.5512099992,0.0,0.0,-26.2769025418,-1031.49970122,797.951090073,0.0
1062,180028.442523,81000,164733.671657,83733.671657,-11580.7532526,-1470.90910355,-5669.72514353,-0.564009969231,-4668.6118701,-7041.86798528,35792.6455235,-4138.87535605,-4512.56638798,-79.0383550329,-619.807528801,2261.97131936,-286.350563532,0.0,-1429.00126924,-300.763426971,-3163.6610212,248.129809128,0.0,1793.45957151,3651.6538646,569.500030014,-565.949385165,347.392900959,0.0,0.0,711.712000226,51.5317109494,-1367.51141522,-2429.05942858,0.0,0.0,-1384.12358073,86.1254888205,-271.829712655,-2225.7484388,10617.6995425,19782.1031751,0.0,-3794.94308588,643.446479152,0.0,-2305.37689348,-3609.7542449,66.1465203883,-58.909568754,-7530.26886725,803.186168864,923.488761606,-3788.34370685,-2822.63632748,-1753.60486153,-68.3401658229,-13038.3579573,55.3267292169,0.0,0.0,-21.0349105404,-2040.24963927,338.247002485,0.0
568,180028.442523,214000,195046.533979,-18953.4660213,895.847416681,12467.0577775,-6302.75675964,-3.55690173528,-3175.26985927,-1011.4272214,-394.829391909,-7021.32259352,-10565.4814169,-105.010750745,-759.194862781,2032.47054627,-599.857150064,0.0,2178.64865898,-415.515180167,159.303940082,-59.9050533702,0.0,3357.13058529,6683.96641689,-218.07532554,-761.452482236,498.429378142,0.0,0.0,1831.01594105,50.1911573635,-2810.48952279,-1479.04768935,0.0,0.0,-53.3968961001,155.268039801,-282.849969022,-1500.82059042,16707.8973414,-1078.32170223,0.0,-3088.92560045,378.84405554,0.0,-2275.96587081,5096.60691642,1773.6911393,-50.3355984302,4398.18855022,1562.34193403,481.797498009,-1702.61374051,-2734.39703119,-3057.58509533,-261.732231452,6641.26480523,62.240627,0.0,0.0,-26.2769025418,-1156.53358849,558.83570932,0.0
1109,180028.442523,181000,168985.640548,-12014.3594522,-946.721334711,2081.0978517,-2463.05318725,26.2582854253,5873.38045892,-1959.76058634,400.18465553,-5495.25323151,3865.07715431,-93.2219781625,-1006.1980968,2515.00345665,-695.276145417,0.0,-1146.65471299,-424.571557434,103.597270122,-109.98592928,0.0,-3334.71492883,5215.09634097,-167.594724004,-202.990513472,481.555468277,0.0,0.0,1315.97926764,40.9190775906,5025.65218884,-1118.77943217,0.0,0.0,238.640855026,82.7174429903,-230.738816451,-1083.12583357,-13406.5312484,-1222.60658584,0.0,-2747.91546531,270.086088115,0.0,-2142.22946442,-4902.47592518,1389.39922982,-53.7332288659,4638.91534902,1049.76519726,397.446780067,-1759.99109446,-1827.13333696,6372.01193854,-122.856707766,5626.42273077,54.5628493346,0.0,0.0,-26.2769025418,-735.658175202,-8680.52276823,0.0
1114,180028.442523,134500,126685.808024,-7814.19197613,1335.5842148,-1461.24939555,4521.84707919,-38.5387048255,-3373.49957534,-6237.99565737,-17067.0206714,-4114.17968699,-4996.00483576,-91.5409170945,-757.268876334,3024.69161414,-322.765169464,0.0,-1053.89091904,-397.463211063,192.133915973,-154.526438344,0.0,-70.2528824644,-2975.30168943,-1086.62756164,-788.86772399,519.374112733,0.0,0.0,610.133039372,49.5923334474,-3256.22525148,-899.334208975,0.0,0.0,456.712504178,190.48620535,-195.956291002,-862.008357941,-7245.1170752,-807.738559488,0.0,-1809.34821602,655.295394853,0.0,-2045.76988236,3042.66777021,-2844.43500448,-55.2833015535,2260.16139351,-5536.80990935,1044.09689861,-1150.87179608,-2961.79748322,-2886.43478368,-94.1222094761,6912.3395442,74.3378594241,0.0,0.0,-23.9211180141,-1243.25464192,673.333627692,0.0
