Id,bias,Actual_Value,Predicted_Value,Difference,OverallCond,BsmtUnfSF,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,GarageCars,WoodDeckSF,OpenPorchSF,3SsnPorch,ScreenPorch,MSZoning_dum_0,MSZoning_dum_1,Street_dum_Pave,LotShape_dum_0,LotShape_dum_1,LandContour_dum_0,LandSlope_dum_0,LandSlope_dum_1,Neighborhood_dum_0,Neighborhood_dum_2,Neighborhood_dum_3,Neighborhood_dum_4,Condition1_dum_0,Condition2_dum_0,Condition2_dum_2,BldgType_dum_0,BldgType_dum_2,HouseStyle_dum_0,RoofStyle_dum_0,RoofMatl_dum_1,RoofMatl_dum_2,Exterior1st_dum_1,Exterior1st_dum_3,Exterior2nd_dum_3,MasVnrType_dum_1,ExterQual_dum_0,ExterQual_dum_1,ExterCond_dum_2,BsmtQual_dum_1,BsmtCond_dum_1,BsmtCond_dum_2,BsmtExposure_dum_1,BsmtFinType1_dum_0,BsmtFinType1_dum_1,Heating_dum_0,HeatingQC_dum_0,HeatingQC_dum_1,CentralAir_dum_Y,KitchenQual_dum_1,FireplaceQu_dum_0,FireplaceQu_dum_1,FireplaceQu_dum_2,GarageType_dum_0,GarageType_dum_2,PoolQC_dum_0,PoolQC_dum_1,SaleType_dum_2,SaleCondition_dum_0,SaleCondition_dum_1,SaleCondition_dum_2
893,179997.741132,154500,138876.548004,-15623.4519964,-446.714019279,-707.921779549,-238.979869267,-308.91259392,-2096.15061588,-1380.82490552,-4096.81236483,-1288.87976488,-2962.34673151,128.485293738,-277.799480818,-1047.7984074,333.036479315,-463.301877472,-719.539425003,-37.6955648168,136.474085424,88.7475888631,633.259528696,-511.035868261,-2143.35468968,-96.9041322658,851.509662231,-299.879512112,203.329318143,-14.5848586488,483.215866136,-331.284884831,-2019.89944577,-238.581289116,-56.3044332271,71.1336893044,-2260.46229653,-292.455336605,29.9823222271,-1347.54081633,-2764.27209049,-421.458130169,44.9163027513,-1128.59010713,-975.824656671,266.666720999,45.5364650781,-837.092742723,-844.699664053,-751.131306375,-2106.15348759,-545.431736966,-1586.93739266,-373.749417182,-434.259166313,-72.4230351987,10.6430349454,-3487.755531,-176.212708058,-78.3837778531,260.729707712,291.688739594,-1021.87991396,-80.2160469319,-405.191266962
1106,179997.741132,325000,288661.286081,-36338.7139188,2168.59197393,2356.7939402,1150.79757513,690.131413724,2773.18701516,-15.3676161987,8323.5870344,3273.43777107,5897.94824328,558.55997984,441.230334574,2867.51186657,888.812321959,204.954235308,1859.93114151,926.721494344,1053.13925698,283.103839144,492.228100861,1014.72870968,4392.05151946,1749.64304123,516.210939708,391.415412781,99.1635677901,291.985369666,700.53455174,726.010840349,1292.49626926,1350.13215039,23.2706513751,824.903278643,4893.87603478,720.279328581,864.625070944,3059.35039537,6259.56420824,1690.82008036,643.800718245,2844.05103821,2013.4986322,923.974595397,861.198664637,1833.72967973,2201.49351265,893.01948272,4518.13430441,1793.46338744,3324.19379606,1506.8284827,1526.47382434,824.732984133,443.965000344,7347.40918408,329.133811783,583.508626167,1264.76205051,994.707314449,3388.09089224,1415.25435698,1354.68005939
414,179997.741132,115000,109178.550382,-5821.44961834,-1076.83819737,-1871.76108626,-1569.21496055,-237.119366422,-1644.23687903,-524.425184767,-4642.53587285,-2144.31294506,-3093.69855318,-224.448345781,-629.525241713,-1846.05714404,-1010.5552058,-388.523272985,-1357.49713137,-620.677507492,-1121.06382842,-795.362612157,-925.470456984,-818.610461393,-2667.82905718,-401.277720561,-509.675117919,-304.735333945,-140.673456376,-142.013217986,-1063.64615889,-530.261370649,-1210.66804977,-932.306066813,-530.054703982,-332.040441084,-2823.19892762,-694.219748717,-450.708401772,-1842.4552755,-3625.12614557,-1135.29095626,125.734370183,-1802.94941052,-1513.68548118,-250.46462667,-1144.86752597,-1369.93266864,-1603.77256793,-717.13123403,-2680.25275293,-1076.95321643,-1994.17467031,-1040.19923681,-628.610709499,-807.205572401,-349.565628885,-4191.96627806,-336.296830305,-152.301541533,-148.677801829,478.880856022,-1863.84627181,-184.198943721,-465.717811103
523,179997.741132,159000,132175.349215,-26824.6507848,-808.158046737,-1408.10394724,-983.558551027,63.2595089515,-1249.22587193,289.991122647,-4658.24658762,-1892.36457178,-3195.01549764,-187.76922051,-121.108296695,-1350.52693752,-269.95185551,138.410830292,-618.085767997,19.5293682724,-294.441253225,-346.968860809,45.552028756,-606.002512292,-2355.81629857,-81.6685501952,1082.86738834,158.849892764,-201.847924481,4.76860187599,875.526151249,-174.2075141,-602.394081868,-83.8387057896,39.0463862282,11.4429367472,-2700.40763942,-382.974915605,-162.458640951,-1538.5249509,-3396.04828434,-835.203776868,338.628668568,-1507.19858051,-987.575425852,116.469512557,-465.530762538,-1161.31246647,-1212.73527245,-531.405482949,-2358.08094064,-436.995167657,-1725.08473699,-682.688211746,-809.83909129,-492.441921569,-307.178236492,-4043.70181777,149.691759345,-186.667376891,-434.994163018,-91.4365010765,-1694.73610506,-104.709287683,-194.274671383
1037,179997.741132,315500,360438.136318,44938.1363175,4010.07259815,4618.01321086,3534.69008558,202.393028023,3662.37456649,215.998402147,13071.863282,6846.77599397,8170.78536083,684.131590879,823.107218812,4788.1912783,1733.60591636,612.032472645,3300.20507117,864.725145042,2147.25928513,2092.93201447,2357.98166967,1670.77990359,7028.11008841,1510.65711284,689.048767275,1280.43159202,1776.03592442,2491.25170383,1350.18441242,1373.36142767,1810.80627275,956.430467442,2421.36642481,2109.56118518,6981.62905026,1114.88894833,1435.2880312,4503.18956806,9960.52406395,1744.35486995,48.8456612667,4009.25849079,3065.41875308,1129.18093989,2748.84291118,3642.08743702,5295.28241583,1661.94436164,6796.64741783,2016.3199927,5027.00679696,1692.80196353,2523.16145727,1182.404952,1075.30300112,11515.6503059,2062.41362583,743.174382022,1415.56676147,374.8175694,4801.80746498,1883.56073983,1006.78057083
615,179997.741132,75500,104954.092679,29454.0926786,-1074.26831817,-2146.05757021,-2079.53753776,-320.454400799,-1594.23974475,-1201.62564931,-3296.50787911,-1567.22961047,-2281.5233536,-682.893839996,-430.287460501,-2260.36602168,-1394.71202932,-404.338017621,-1371.93748016,-1163.16077552,-1535.10600469,-1021.3957042,-1873.63505447,-762.032147638,-2056.18632312,-712.009875726,-1578.78652326,-462.674911129,-1108.66044491,-803.227361124,-2611.83046571,-639.292894771,-1597.14276941,-777.901794263,-723.684201656,-507.710853894,-1920.39934196,-771.329557575,-781.621097505,-1331.60596377,-2742.34183391,-721.477634237,-320.337716127,-1034.74959021,-1033.02672708,-650.408003536,-1402.36478124,-1942.43445729,-1273.13419391,-727.293710686,-1763.43756407,-680.470036202,-1620.5936194,-664.898645958,-809.255834066,-552.70460652,-497.535065997,-3074.42551271,-565.779406298,-1148.61375081,-1290.18503752,-451.898561878,-1377.01794908,-307.78583851,-323.184604636
219,179997.741132,311500,212033.211713,-99466.7882869,979.102801235,204.149348794,243.421805738,582.244825075,247.719488267,159.317982592,-402.34405141,1145.81352346,-100.880194387,1371.64869682,1466.71179452,102.144408674,670.986158665,321.430637537,308.469391103,1475.40792877,546.075908101,456.588888138,401.672638265,857.846308393,287.654682566,83.8931932218,826.20679845,922.771450547,1529.07289474,1185.38269803,609.09615267,2157.59654689,128.321067103,336.103106437,757.828905179,769.033490572,168.052985895,535.126588707,799.194590066,642.58664066,92.2073350237,242.599535076,28.8457570194,439.522657674,1563.08289493,325.137536565,398.912800969,864.584312026,438.26435805,281.545421665,-195.093789895,822.522489159,-175.934545439,348.583526397,316.835279804,424.214708014,1263.22906269,-202.850472544,376.467524608,395.279223524,585.645663946,475.747771872,466.622794664,413.458697091,493.510749847
1161,179997.741132,146000,146400.326663,400.326663335,-626.655203105,-1026.15734176,-777.145194602,-201.818306536,-224.783501979,257.321248769,-2286.79172824,-1184.3290566,-1436.05837798,-157.874231789,-232.306596499,-1091.9868511,-672.711716218,-94.9021887926,-370.751220258,-99.2996162357,-676.447407558,-416.696423535,-958.645993962,-384.299222184,-1338.70955904,-379.763415976,-1513.14340028,228.478669259,-77.1600619929,-190.016905193,-1822.51934948,-314.208872201,18.4242271222,119.783682053,-173.696823417,-71.3749105076,-1261.83832381,-419.395959004,-116.13788112,-717.40633183,-1893.10985166,-130.095733843,-115.084208658,-567.371199437,-413.27136211,-563.254685715,-851.301657227,-864.501434047,-630.463358199,-358.007289952,-1219.37705372,-213.305532786,-853.020984387,113.102657065,-353.183895214,-207.834244856,-163.335067965,-1881.57031658,-68.4002890911,46.8978617408,370.552460272,-236.792692537,-487.572222497,-16.3071222036,-126.862307721
650,179997.741132,84500,94077.2247989,9577.22479891,-1289.52671736,-2305.20827937,-2216.18549976,-372.248416571,-1919.09666538,-1344.08640907,-4186.49439297,-2000.73547224,-2898.84725894,-655.441293258,-632.668894519,-2394.52634849,-1428.95445564,-556.371143753,-1450.54006824,-1134.39068966,-1602.56163996,-1045.68129576,-1746.85637344,-919.982146841,-2800.52649656,-703.278947875,-1431.79840213,-469.274045449,-860.861466335,-607.688920104,-2539.58766386,-1058.8010358,-1786.99364321,-869.368626815,-864.187512949,-550.914116333,-2472.76915091,-816.000996068,-820.175211023,-1785.28425472,-3467.4882738,-831.300541029,-332.312012869,-1297.00837526,-1516.18906655,-492.501465595,-1665.70453516,-2157.69691937,-1584.09462278,-1102.41052441,-2317.33441379,-1137.16428215,-1893.67768653,-745.061260524,-909.592512938,-666.348414757,-603.666197308,-3878.2080506,-612.904275267,-969.414052697,-969.062257361,-592.391327742,-1709.84768538,-372.348566705,-335.954269402
888,179997.741132,135500,158336.99187,22836.9918698,-492.268849897,-556.298445192,308.958814442,360.332551417,-298.681230963,483.415560944,-3698.54490811,-1043.11279765,-2059.08075997,552.103948107,656.093315967,-964.446122499,84.6289363228,-141.183301776,-19.3937799103,502.963687895,365.912215014,103.333153087,480.820614273,67.2025968889,-1694.61531317,154.100893334,728.84451317,361.617268998,186.883147436,-13.6672581779,591.846789399,-36.2355155618,490.993138937,11.5411481121,-59.7871923308,257.169474523,-1783.77175597,-199.190253591,-143.843557758,-1197.98726377,-2503.14839791,-288.764992076,-13.4975204035,-1160.27117417,-1119.77780315,505.946708984,-2.00618892435,-75.0197494366,-559.613380318,-243.05740193,-1813.14375465,-380.253416694,-1004.85649835,-242.085569584,-226.42453725,76.6716694411,240.090309789,-3204.18171434,-322.17457153,301.232535272,456.130214199,-426.905632558,-1183.67577138,-0.687990476401,404.99269507
