"Id","bias","Actual_Value","Predicted_Value","Difference","OverallCond","BsmtUnfSF","BsmtFullBath","BsmtHalfBath","HalfBath","BedroomAbvGr","GarageCars","WoodDeckSF","OpenPorchSF","3SsnPorch","ScreenPorch","MSZoning_dum_0","MSZoning_dum_1","Street_dum_Pave","LotShape_dum_0","LotShape_dum_1","LandContour_dum_0","LandSlope_dum_0","LandSlope_dum_1","Neighborhood_dum_0","Neighborhood_dum_2","Neighborhood_dum_3","Neighborhood_dum_4","Condition1_dum_0","Condition2_dum_0","Condition2_dum_2","BldgType_dum_0","BldgType_dum_2","HouseStyle_dum_0","RoofStyle_dum_0","RoofMatl_dum_1","RoofMatl_dum_2","Exterior1st_dum_1","Exterior1st_dum_3","Exterior2nd_dum_3","MasVnrType_dum_1","ExterQual_dum_0","ExterQual_dum_1","ExterCond_dum_2","BsmtQual_dum_1","BsmtCond_dum_1","BsmtCond_dum_2","BsmtExposure_dum_1","BsmtFinType1_dum_0","BsmtFinType1_dum_1","Heating_dum_0","HeatingQC_dum_0","HeatingQC_dum_1","CentralAir_dum_Y","KitchenQual_dum_1","FireplaceQu_dum_0","FireplaceQu_dum_1","FireplaceQu_dum_2","GarageType_dum_0","GarageType_dum_2","PoolQC_dum_0","PoolQC_dum_1","SaleType_dum_2","SaleCondition_dum_0","SaleCondition_dum_1","SaleCondition_dum_2"
893,181708.838532,154500,144545.225938,-9954.77406241,11379.3397401,-2782.54616339,-6712.33084036,-2715.97873386,-4685.20959226,30.7071478173,-18101.0064701,5595.77163061,-6175.87385752,-379.217892926,-1243.49010436,2154.82699171,-97.1839664004,87.2599306541,-933.169259673,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,-2333.23568655,-3206.64920502,5043.044819,-542.384221095,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,9350.11702769,-245.278336105,260.182595169,-1620.1163996,400.986343546,-945.854734766,-1218.03463592,-6082.07858403,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,5729.08744795,2019.58019827,-423.064487782,-8236.8698657,2294.3371272,1432.06150607,-3640.63046535,-2851.61019183,-3030.42124027,-517.619239853,2414.95478751,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
1106,181708.838532,325000,269406.133679,-55593.8663214,-2562.98327028,-2690.06155681,9340.40916138,166.217701936,7808.68265377,30.7071478173,1891.7992735,5430.37278955,2165.4091547,-379.217892926,-1243.49010436,2154.82699171,-97.1839664004,87.2599306541,1778.12848982,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,2818.40756844,5564.70037686,5043.044819,-542.384221095,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,3958.24476517,-2494.71669069,-245.278336105,260.182595169,-1620.1163996,400.986343546,-945.854734766,-1218.03463592,11722.1013311,-1441.15015075,118.077148392,23296.206379,387.721032312,82.1470037056,-3395.78665438,5729.08744795,2019.58019827,-423.064487782,4113.14811008,2294.3371272,1432.06150607,-3640.63046535,-2851.61019183,9656.07341435,-517.619239853,2414.95478751,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
414,181708.838532,115000,88848.4351827,-26151.5648173,715.444104247,2170.66835408,-6712.33084036,166.217701936,-4685.20959226,-9450.44791972,1891.7992735,-4906.39839063,-6175.87385752,-379.217892926,-1243.49010436,-11304.1993522,-97.1839664004,87.2599306541,-933.169259673,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,-2333.23568655,-3206.64920502,-1894.85429595,-542.384221095,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,-1620.1163996,-11022.2343702,-945.854734766,-1218.03463592,-6082.07858403,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,-4487.05627602,2019.58019827,-423.064487782,4113.14811008,-9012.77580348,1432.06150607,-3640.63046535,6719.31137154,-3030.42124027,-517.619239853,-5027.43885843,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
523,181708.838532,159000,117247.906911,-41752.0930887,5290.83175881,-1962.17374871,-6712.33084036,166.217701936,-4685.20959226,30.7071478173,1891.7992735,-4906.39839063,1402.68470855,-379.217892926,-1243.49010436,-11304.1993522,-97.1839664004,87.2599306541,-933.169259673,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,2818.40756844,-3206.64920502,5043.044819,-542.384221095,-16084.1603797,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,-1620.1163996,400.986343546,-945.854734766,-1218.03463592,-6082.07858403,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,-4487.05627602,-5150.23643267,-423.064487782,4113.14811008,2294.3371272,1432.06150607,-3640.63046535,6719.31137154,-3030.42124027,-517.619239853,-5027.43885843,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
1037,181708.838532,315500,350616.325764,35116.3257639,-2562.98327028,-2001.29073359,9340.40916138,166.217701936,-4685.20959226,-9450.44791972,35213.1421794,6538.07606198,-6175.87385752,-379.217892926,-1243.49010436,2154.82699171,-97.1839664004,87.2599306541,1778.12848982,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,-2333.23568655,5564.70037686,5043.044819,-542.384221095,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,9350.11702769,-245.278336105,260.182595169,-1620.1163996,400.986343546,-945.854734766,10737.1288494,11722.1013311,-1441.15015075,118.077148392,23296.206379,387.721032312,82.1470037056,16840.329735,5729.08744795,2019.58019827,-423.064487782,4113.14811008,2294.3371272,1432.06150607,35370.8959891,-2851.61019183,-3030.42124027,15822.3610885,2414.95478751,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
615,181708.838532,75500,113338.264046,37838.2640463,715.444104247,-3102.25561117,9340.40916138,166.217701936,-4685.20959226,-15139.1409602,-24765.2750512,2519.75724856,1402.68470855,-379.217892926,-1243.49010436,-11304.1993522,-97.1839664004,87.2599306541,-933.169259673,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,2818.40756844,5564.70037686,-1894.85429595,4966.35291142,1506.00752619,302.033207125,-195.300613852,-10933.5230413,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,-1620.1163996,400.986343546,-945.854734766,-1218.03463592,-6082.07858403,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,5729.08744795,2019.58019827,-423.064487782,4113.14811008,2294.3371272,1432.06150607,-3640.63046535,-2851.61019183,-3030.42124027,-517.619239853,-5027.43885843,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
219,181708.838532,311500,213107.998501,-98392.0014987,19197.1280947,-2610.87443807,-6712.33084036,-2715.97873386,7808.68265377,30.7071478173,1891.7992735,-4906.39839063,6747.18089513,-379.217892926,-1243.49010436,2154.82699171,-97.1839664004,87.2599306541,1778.12848982,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,-2333.23568655,-3206.64920502,5043.044819,-542.384221095,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,-1620.1163996,400.986343546,-945.854734766,-1218.03463592,11722.1013311,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,5729.08744795,-5150.23643267,-423.064487782,4113.14811008,2294.3371272,1432.06150607,-3640.63046535,-2851.61019183,9656.07341435,-517.619239853,2414.95478751,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
1161,181708.838532,146000,158424.936496,12424.936496,-2562.98327028,-2273.42341751,-6712.33084036,166.217701936,7808.68265377,30.7071478173,1891.7992735,-1041.70446542,-6175.87385752,-379.217892926,-1243.49010436,2154.82699171,-97.1839664004,87.2599306541,-933.169259673,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,2818.40756844,5564.70037686,-1894.85429595,4966.35291142,1506.00752619,302.033207125,-195.300613852,-10933.5230413,491.179262431,3958.24476517,-2494.71669069,-245.278336105,260.182595169,-1620.1163996,400.986343546,20299.4977692,-1218.03463592,-6082.07858403,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,-4487.05627602,-5150.23643267,-423.064487782,-8236.8698657,-9012.77580348,1432.06150607,-3640.63046535,-2851.61019183,9656.07341435,-517.619239853,2414.95478751,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
650,181708.838532,84500,79541.3671567,-4958.63284331,715.444104247,-3102.25561117,9340.40916138,166.217701936,-4685.20959226,-15139.1409602,-24765.2750512,-4906.39839063,-6175.87385752,-379.217892926,-1243.49010436,-11304.1993522,-97.1839664004,87.2599306541,-933.169259673,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,2818.40756844,5564.70037686,-1894.85429595,4966.35291142,1506.00752619,302.033207125,-195.300613852,-10933.5230413,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,-1620.1163996,400.986343546,-945.854734766,-1218.03463592,-6082.07858403,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,5729.08744795,-5150.23643267,-423.064487782,4113.14811008,-9012.77580348,1432.06150607,-3640.63046535,-2851.61019183,-3030.42124027,-517.619239853,-5027.43885843,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
888,181708.838532,135500,158056.609644,22556.6096443,5290.83175881,-304.946957544,-6712.33084036,166.217701936,7808.68265377,30.7071478173,-18101.0064701,3430.81880652,-6175.87385752,-379.217892926,20362.9912981,2154.82699171,-97.1839664004,87.2599306541,1778.12848982,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,2818.40756844,-3206.64920502,-1894.85429595,-542.384221095,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,3006.52407651,400.986343546,-945.854734766,-1218.03463592,-6082.07858403,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,-4487.05627602,2019.58019827,-423.064487782,-8236.8698657,2294.3371272,1432.06150607,-3640.63046535,-2851.61019183,-3030.42124027,-517.619239853,2414.95478751,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
577,181708.838532,145000,123220.507341,-21779.4926589,5290.83175881,183.833731716,-6712.33084036,-2715.97873386,-4685.20959226,30.7071478173,-18101.0064701,-4906.39839063,3503.32766436,-379.217892926,-1243.49010436,2154.82699171,-97.1839664004,87.2599306541,-933.169259673,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,-2333.23568655,-3206.64920502,-1894.85429595,4966.35291142,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,3006.52407651,400.986343546,-945.854734766,-1218.03463592,-6082.07858403,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,-4487.05627602,2019.58019827,-423.064487782,4113.14811008,-9012.77580348,1432.06150607,-3640.63046535,6719.31137154,-3030.42124027,-517.619239853,-5027.43885843,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
1253,181708.838532,130000,135642.021638,5642.02163833,715.444104247,-2873.86423642,9340.40916138,166.217701936,-4685.20959226,30.7071478173,-18101.0064701,-552.428710009,-6175.87385752,-379.217892926,-1243.49010436,2154.82699171,-97.1839664004,87.2599306541,-933.169259673,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,-2333.23568655,5564.70037686,5043.044819,-542.384221095,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,-1620.1163996,400.986343546,-945.854734766,-1218.03463592,-6082.07858403,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,5729.08744795,-5150.23643267,-423.064487782,-8236.8698657,2294.3371272,1432.06150607,-3640.63046535,-2851.61019183,-3030.42124027,-517.619239853,2414.95478751,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
1062,181708.838532,81000,187435.001167,106435.001167,-4760.61041145,576.34356268,-6712.33084036,166.217701936,-4685.20959226,-9450.44791972,35213.1421794,-4906.39839063,955.822800138,-379.217892926,-1243.49010436,2154.82699171,-97.1839664004,-25392.6398203,-933.169259673,-762.269837527,-501.592436706,-258.970813013,-81.3492360556,2818.40756844,5564.70037686,5043.044819,-542.384221095,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,3006.52407651,400.986343546,-945.854734766,-1218.03463592,11722.1013311,30318.5361903,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,-4487.05627602,2019.58019827,-423.064487782,-8236.8698657,2294.3371272,1432.06150607,-3640.63046535,-2851.61019183,-3030.42124027,-517.619239853,-5027.43885843,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
568,181708.838532,214000,187162.540388,-26837.4596125,-2562.98327028,14800.0023638,-6712.33084036,166.217701936,-4685.20959226,30.7071478173,1891.7992735,-4906.39839063,-6175.87385752,-379.217892926,-1243.49010436,2154.82699171,-97.1839664004,87.2599306541,1778.12848982,-762.269837527,33.9285560478,-258.970813013,-81.3492360556,2818.40756844,5564.70037686,-1894.85429595,-542.384221095,1506.00752619,302.033207125,-195.300613852,1251.93011924,491.179262431,-2314.79442848,-2494.71669069,-245.278336105,260.182595169,-1620.1163996,400.986343546,-945.854734766,-1218.03463592,11722.1013311,-1441.15015075,118.077148392,-2817.00768114,387.721032312,82.1470037056,-3395.78665438,5729.08744795,2019.58019827,-423.064487782,4113.14811008,2294.3371272,1432.06150607,-3640.63046535,-2851.61019183,-3030.42124027,-517.619239853,2414.95478751,392.809961259,-347.774886727,76.2658075806,-104.981614062,-1884.65922137,873.098137786,-41.5061010796
