Id,bias,Actual_Value,Predicted_Value,Difference,OverallCond,BsmtUnfSF,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,GarageCars,WoodDeckSF,OpenPorchSF,3SsnPorch,ScreenPorch,MSZoning_dum_0,MSZoning_dum_1,Street_dum_Pave,LotShape_dum_0,LotShape_dum_1,LandContour_dum_0,LandSlope_dum_0,LandSlope_dum_1,Neighborhood_dum_0,Neighborhood_dum_2,Neighborhood_dum_3,Neighborhood_dum_4,Condition1_dum_0,Condition2_dum_0,Condition2_dum_2,BldgType_dum_0,BldgType_dum_2,HouseStyle_dum_0,RoofStyle_dum_0,RoofMatl_dum_1,RoofMatl_dum_2,Exterior1st_dum_1,Exterior1st_dum_3,Exterior2nd_dum_3,MasVnrType_dum_1,ExterQual_dum_0,ExterQual_dum_1,ExterCond_dum_2,BsmtQual_dum_1,BsmtCond_dum_1,BsmtCond_dum_2,BsmtExposure_dum_1,BsmtFinType1_dum_0,BsmtFinType1_dum_1,Heating_dum_0,HeatingQC_dum_0,HeatingQC_dum_1,CentralAir_dum_Y,KitchenQual_dum_1,FireplaceQu_dum_0,FireplaceQu_dum_1,FireplaceQu_dum_2,GarageType_dum_0,GarageType_dum_2,PoolQC_dum_0,PoolQC_dum_1,SaleType_dum_2,SaleCondition_dum_0,SaleCondition_dum_1,SaleCondition_dum_2
893,179981.911816,154500,134443.080334,-20056.919666,4451.16395225,-479.094401793,-1089.27980629,0.0,-1610.75893672,2340.27373302,-50244.6962553,1149.15468259,-775.587890638,0.0,-98.9066652213,2568.48436934,0.0,0.0,-46.5670543461,0.0,0.0,0.0,0.0,1591.12994407,81.1570375984,322.931802768,4.93847147402,2.12091349144,0.0,0.0,404.631446972,0.0,-2247.8790548,827.470520024,0.0,0.0,-443.470188791,0.0,0.0,0.0,-3915.25066506,-4.68749466213,0.0,0.0,36.8039848062,0.0,-96.3292565215,385.638188291,-97.2957753677,0.0,-471.732549963,13.6431945384,2338.08294262,0.0,-2327.2933445,-74.8680393245,0.0,1898.63129872,0.0,0.0,0.0,0.0,0.0,68.6094147114,0.0
1106,179981.911816,325000,230298.278781,-94701.7212191,17.1158555814,4089.9528372,3381.41026725,0.0,488.155821146,-1062.57360363,-319.053724258,3582.05866849,933.07035365,0.0,0.0,172.849506876,-2.22883784253,0.0,438.736744586,0.0,0.0,0.0,0.0,-85.152891272,919.097545104,777.880499153,-126.125328005,0.0,0.0,0.0,196.025110462,0.0,34.8069542391,-419.278346736,0.0,0.0,-1015.23227224,0.0,0.0,-4.33675841232,23326.860615,0.0,0.0,1971.43000338,0.0,0.0,-332.619527961,1006.5537571,12.3046744735,0.0,0.0,0.0,0.0,-634.439241031,-153.080476928,4586.76724477,0.0,8535.41151474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,179981.911816,115000,126627.168863,11627.1688634,604.178271704,-751.840026881,-3653.22626238,0.0,-3041.1795224,-12112.1317389,2614.40884997,-248.304252769,-4961.01032127,0.0,0.0,-265.119850528,-29.313302553,0.0,-115.023714956,0.0,-20.0690121823,0.0,0.0,132.909209944,-92.3025251302,-98.2164736968,0.0,0.0,0.0,0.0,-22.0039653211,0.0,-109.130512795,0.0,0.0,0.0,190.020191506,0.0,0.0,0.0,-8172.42457413,-4.68749466213,0.0,0.0,97.1765814146,0.0,0.0,-20.9256297871,186.239401319,0.0,128.821825316,-170.788377905,183.28411164,0.0,6471.82874143,-111.713795743,0.0,-29964.1987829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,179981.911816,159000,157649.930591,-1350.06940903,4463.37969521,275.688374718,-167.05782134,0.0,-3552.48436659,6630.53484346,2754.68659125,-704.116135302,-2098.13748835,0.0,0.0,-267.819723067,-9.37791673321,0.0,-337.059032386,0.0,-20.0690121823,0.0,0.0,12.5610035596,-69.5222134267,2896.53347725,0.0,0.0,0.0,0.0,0.0,0.0,-423.262043833,-9.53486522272,0.0,0.0,-155.152122179,0.0,0.0,0.0,-8457.61120274,-8.68618672034,0.0,0.0,92.8374506988,0.0,-57.9322770782,22.8453087565,-97.4823342547,0.0,255.991548183,4.40999835886,84.3876824344,-42.5786718905,7993.27075122,-213.336455518,0.0,-31127.8880814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,179981.911816,315500,360899.079555,45399.079555,0.0,-920.538131122,1271.24587538,0.0,-4532.11289646,-53.9030406055,116052.28448,-608.301654301,-4877.73078826,0.0,0.0,0.0,0.0,0.0,226.734195422,0.0,0.0,0.0,0.0,-440.61324435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.728089812,11713.7875579,0.0,0.0,0.0,0.0,0.0,-69.010327148,-2295.48205507,-5415.58458831,0.0,50244.6503833,0.0,0.0,4187.91942346,326.294735932,0.0,0.0,0.0,0.0,0.0,15971.5865567,628.953018016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-352.283671403,0.0,0.0
615,179981.911816,75500,98100.9999578,22600.9999578,356.128835279,-885.521973649,706.015896824,0.0,-160.011735251,-8719.08836034,-57523.2614988,-203.110241116,-0.948865208809,0.0,-65.7442104969,-5646.8733881,-2.36550084296,0.0,-32.4555767195,0.0,0.0,0.0,0.0,-1030.8828528,-136.098358519,-84.5340976208,-60.1838916193,0.0,0.0,0.0,-4582.28859282,0.0,-69.129561401,-147.879053547,0.0,0.0,-263.360866458,0.0,0.0,0.0,-3736.95646772,-4.68749466213,0.0,0.0,0.0,0.0,0.0,91.7593145683,-197.427082706,0.0,221.652690218,201.693996205,3316.12056221,0.0,-1454.90288098,-3.05989603032,0.0,-1766.96359401,0.0,0.0,0.0,0.0,0.0,3.45288778071,0.0
219,179981.911816,311500,219688.620278,-91811.3797222,3.0054866375,1808.67330248,-2845.52535671,0.0,113.826003413,-1133.58986042,-326.656825214,-5099.5996834,10264.9475492,0.0,-16.4047661284,172.378241665,-10.5755017707,0.0,23.2133789739,0.0,0.0,0.0,0.0,20.678224747,-706.186499417,958.493289594,-53.7640350205,0.0,0.0,0.0,206.329138539,0.0,-108.864699813,-281.107193646,0.0,0.0,-841.188052257,0.0,0.0,-4.33675841232,23418.3336735,0.0,0.0,-167.979759074,0.0,0.0,-176.541738942,873.513948608,0.0,0.0,0.0,0.0,0.0,-653.275395541,-236.791279787,5829.62745491,0.0,8678.93949514,0.0,0.0,0.0,0.0,-2.86332019332,0.0,0.0
1161,179981.911816,146000,162736.568555,16736.5685547,-149.88940905,-55.0157817002,-241.064226055,0.0,870.657726636,79.7911832405,2977.9379487,-1309.37664828,-15803.6950902,0.0,-6.29825139042,14.7215573412,0.0,0.0,-1448.96250879,-19.7666719767,0.0,0.0,0.0,368.742531115,1738.76744638,416.833825159,120.533438198,0.0,0.0,0.0,-10.5798031416,0.0,3016.69674305,230.037372794,0.0,0.0,-120.871431869,0.0,0.0,0.0,-16596.22796,-4.68749466213,0.0,-31.2491505846,0.0,0.0,-1259.86570318,-78.1764749365,-1159.94015054,0.0,-1586.62573213,49.7937282413,0.0,-7.00241561857,-1189.75230368,2513.30802708,0.0,11432.2445563,0.0,0.0,0.0,0.0,0.0,3.63786225432,0.0
650,179981.911816,84500,97942.9729203,13442.9729203,365.301250197,-895.03565128,696.179095385,0.0,-160.011735251,-8723.94666053,-57514.1443074,-203.110241116,-88.1030462407,0.0,-65.7442104969,-5622.93841844,-2.36550084296,0.0,-32.4555767195,0.0,0.0,0.0,0.0,-1005.64754927,-136.098358519,-84.5340976208,-60.1838916193,0.0,0.0,0.0,-4582.28859282,0.0,-69.129561401,-147.879053547,0.0,0.0,-281.779261973,0.0,0.0,0.0,-3736.95646772,-4.68749466213,0.0,0.0,0.0,0.0,0.0,84.257851263,263.038683164,0.0,215.354315411,-337.420326445,3312.86339598,0.0,-1454.90288098,-3.05989603032,0.0,-1766.96359401,0.0,0.0,0.0,0.0,0.0,3.45288778071,0.0
888,179981.911816,135500,135786.340217,286.340216577,2903.65010527,507.657440973,-604.991216962,0.0,6132.27446562,2409.10754396,-50459.8576539,-446.891117056,-471.452489302,0.0,1115.87944898,2553.25779732,0.0,0.0,109.262739909,0.0,0.0,0.0,0.0,-2948.35666371,134.823563744,-248.115597386,4.93847147402,0.0,0.0,0.0,401.080987464,0.0,-2157.67064102,-95.2774080338,0.0,0.0,266.553705451,0.0,0.0,0.0,-3915.25066506,-4.68749466213,0.0,0.0,30.6741657508,0.0,-39.0446629656,-209.296704947,-34.1503411915,0.0,-711.124733264,6.78849564921,2339.58835525,0.0,-2277.25041367,-57.1468560994,0.0,1504.52212876,0.0,0.0,0.0,0.0,0.0,64.9336441531,0.0
