"Id","bias","Actual_Value","Predicted_Value","Difference","OverallCond","BsmtUnfSF","BsmtFullBath","BsmtHalfBath","HalfBath","BedroomAbvGr","GarageCars","WoodDeckSF","OpenPorchSF","3SsnPorch","ScreenPorch","MSZoning_dum_0","MSZoning_dum_1","Street_dum_Pave","LotShape_dum_0","LotShape_dum_1","LandContour_dum_0","LandSlope_dum_0","LandSlope_dum_1","Neighborhood_dum_0","Neighborhood_dum_2","Neighborhood_dum_3","Neighborhood_dum_4","Condition1_dum_0","Condition2_dum_0","Condition2_dum_2","BldgType_dum_0","BldgType_dum_2","HouseStyle_dum_0","RoofStyle_dum_0","RoofMatl_dum_1","RoofMatl_dum_2","Exterior1st_dum_1","Exterior1st_dum_3","Exterior2nd_dum_3","MasVnrType_dum_1","ExterQual_dum_0","ExterQual_dum_1","ExterCond_dum_2","BsmtQual_dum_1","BsmtCond_dum_1","BsmtCond_dum_2","BsmtExposure_dum_1","BsmtFinType1_dum_0","BsmtFinType1_dum_1","Heating_dum_0","HeatingQC_dum_0","HeatingQC_dum_1","CentralAir_dum_Y","KitchenQual_dum_1","FireplaceQu_dum_0","FireplaceQu_dum_1","FireplaceQu_dum_2","GarageType_dum_0","GarageType_dum_2","PoolQC_dum_0","PoolQC_dum_1","SaleType_dum_2","SaleCondition_dum_0","SaleCondition_dum_1","SaleCondition_dum_2"
893,178768.238964,154500,137052.478167,-17447.5218335,-631.721426443,-686.89500696,83.0164462335,-127.58697788,-2128.9349064,-1209.82460267,-4325.41007512,-1399.70015831,-2932.3881257,17.8183080048,-57.0485073882,-1116.42230849,264.730787405,-162.274202916,-490.821705738,-46.2164142679,191.728906075,365.030602187,670.221618466,-496.410752402,-2270.51275003,-74.0958078375,269.455019472,-255.40620809,98.0346336052,-36.9409444064,-2.8622400426,-461.687632395,-1939.99775673,-125.431463591,-41.8592808404,95.3759159683,-2271.10434446,-297.708818423,-129.463639986,-1490.98473919,-2974.72169106,-635.706314841,2.0045079976,-1317.12376413,-988.431941237,220.821834035,292.7863871,-889.001812609,-773.590987566,-637.894081404,-2165.23987279,-565.97254939,-1681.20837166,-542.383443518,-560.972630915,-85.9627312488,-157.800208706,-3672.05306253,-60.0530106638,-50.5956661619,136.883097167,10.1917249801,-1049.59370464,-139.527455901,-276.316488144
1106,178768.238964,325000,283561.426514,-41438.5734864,1988.66741241,2269.50821332,1091.52342282,914.995964962,2672.24418066,9.8656595666,8113.93307003,3375.64224428,5322.54621134,480.398642369,489.278864999,2707.28456552,763.654467258,153.639169716,1589.4523298,762.983336432,892.242827016,300.043073541,359.698382601,987.65230024,4299.11052681,1419.24715559,280.729719443,367.904100168,174.115991498,433.433049793,510.413371424,651.329728382,1274.33601804,1017.12820751,375.496697605,693.176644738,4427.34366675,675.438685172,832.714986103,2888.03733219,6072.99995641,1540.69275104,444.48817838,2764.64954214,1900.66907741,842.637013092,869.479875476,1761.3589955,2206.85344192,1064.37681199,4380.92874837,1904.08559034,3169.37961872,1477.44774755,1457.58392781,814.01370373,561.313375637,7191.94810395,396.280263388,540.373110451,1080.45243193,1099.07022345,3184.37451209,1343.15065391,1159.36967518
414,178768.238964,115000,114427.277369,-572.722630673,-1134.75534812,-1855.80498839,-1791.58911563,-177.893606347,-1391.97404759,-230.639185769,-4600.40406234,-2008.13108418,-2977.47223214,-167.50880238,-334.914994764,-1885.07692925,-952.207296919,-424.822550066,-1266.91484821,-506.852029727,-1160.25918117,-961.560702761,-1022.73401389,-576.824683821,-2552.85771904,-467.294021537,-303.951524959,-204.561636587,-14.5046724584,-62.2331789129,-870.597847092,-396.700766658,-862.133198111,-573.388511914,-332.626005384,-394.271493623,-2640.68939738,-601.308641951,-429.760469008,-1646.01195118,-3558.64895129,-822.483029487,119.861293237,-1552.15969889,-1320.57186099,-177.895728874,-1318.62614722,-1404.33857704,-1594.08555585,-594.734464636,-2496.34406617,-718.365855277,-1909.50311837,-702.296352365,-634.790022365,-677.191865981,-194.495060065,-4132.73959579,-276.950672023,-197.667013873,-378.980800213,230.772950352,-1814.5799047,-181.556475877,-251.360281296
523,178768.238964,159000,127552.740623,-31447.2593767,-904.114879044,-1477.14295823,-1016.80393533,-113.404082893,-1174.23932392,223.042448451,-4710.76451839,-1930.39539539,-3093.76352977,-103.668966262,-188.035025791,-1505.92520023,-351.642805003,-7.3125745098,-855.310365441,-170.491186377,-453.170592741,-410.316665295,-203.786238512,-623.762857921,-2434.58315797,-216.187803361,580.510511882,20.4573066972,-85.507918983,-4.4531500171,306.802751988,-306.616321093,-488.735955033,-198.030808972,-44.0160583343,-88.1488081091,-2602.17515937,-422.515431676,-231.259798791,-1627.05413032,-3482.85200985,-792.689516957,122.06566558,-1542.39158056,-1043.21654858,-17.7520769735,-698.169146502,-1126.44496637,-1296.80919903,-580.88937395,-2475.5192545,-616.555781827,-1784.53180447,-684.372358371,-758.63126394,-439.716517354,-205.515534616,-4113.17774788,11.2174920069,-173.45889998,-351.789228715,-147.170258849,-1725.15955643,-208.185802725,-171.260485461
1037,178768.238964,315500,372818.050154,57318.0501539,3991.39700892,4630.65156636,2271.85947281,215.619203961,4538.47923026,351.00248719,15947.4957271,7147.3833891,10072.6064399,660.763086036,599.880273678,5466.48853923,1249.64292439,417.102564141,3343.52022208,796.189149286,1556.39864981,1423.76274904,1086.81762438,2057.74462554,8251.08872992,1004.05382919,543.985602076,884.412023203,1202.56092215,1462.69085113,1211.95215064,1602.41392555,2338.7979637,1030.43940962,1712.87581032,1072.33882451,8565.49603731,1387.54522156,1487.3583012,5648.39589625,11860.5608221,2671.51006529,151.942511202,5353.61202636,3960.20650731,481.408551262,2010.29638661,3681.72078996,5137.01337416,1981.44443927,8237.06322294,2362.50997104,6181.26403502,2571.4961761,2971.76546429,1179.53964369,1260.5759159,13936.3674402,1267.19117184,454.708462536,1099.56657022,97.1894769172,5516.00365948,1461.801249,931.842825991
615,178768.238964,75500,114421.293657,38921.2936566,-991.190744085,-1916.20072265,-2057.42259875,-264.641169783,-1574.80074644,-915.521691275,-3427.38353712,-1599.917731,-2286.49938922,-378.067532171,-383.159693219,-1872.88869367,-1087.96038673,-345.370620047,-1165.77278722,-772.697681879,-1365.62615677,-951.240193063,-1427.16593506,-670.016635991,-2034.3703134,-555.106737865,-773.65657109,-435.382107493,-569.736177683,-409.126727434,-1635.67372734,-564.510440646,-1457.16921887,-540.690267263,-409.001234491,-488.33297736,-1939.0046683,-619.561481495,-551.068968524,-1275.29764297,-2767.40745557,-722.257095844,-224.626706915,-1138.87476608,-977.806795322,-359.034053243,-1334.85300786,-1702.46357556,-1286.23383763,-587.508635787,-1855.64685895,-572.997625058,-1632.20245136,-619.844482767,-693.026800236,-636.46170279,-325.064904846,-3126.82663615,-335.429063705,-751.336380658,-967.40695206,-189.113057781,-1404.55651287,-216.372894335,-208.359145372
219,178768.238964,311500,200003.055815,-111496.944185,278.704486387,250.523614153,203.163001844,527.79725356,129.413281476,34.9104215924,-188.628312913,849.597611477,53.5321328469,1265.25196882,1045.01794508,139.730180142,384.840172456,204.972591753,464.088592372,1457.58835803,317.602466137,126.091672328,300.961369303,878.934983075,221.834709464,72.2832652238,511.078549962,521.388724348,469.383013083,375.858192335,379.221982249,1698.69394812,45.5816732032,166.937243174,415.170715641,425.134559241,58.9473327548,325.866396136,376.060975412,419.182997362,155.702404514,78.1879327679,261.059497602,56.6900476977,125.08510345,172.643880062,233.865623765,719.453080015,356.125572034,13.3046446771,-47.1133871768,398.716619128,-109.749958855,139.631515037,207.637828189,76.3954346692,1159.97654277,-152.255346367,192.076793911,306.740390766,372.706809903,579.36062053,61.3602119703,209.494900212,461.002022919
1161,178768.238964,146000,151743.013278,5743.0132783,-555.301219015,-810.688503997,-628.298311208,-99.2251842002,-71.8875400412,326.621526265,-1864.20620894,-880.292568408,-1166.83146129,-143.028240601,-213.724210447,-845.444370162,-529.899241895,-109.492179944,-534.177464631,-182.262050532,-545.149499436,-475.730578537,-728.240710134,-210.284578811,-1013.67686121,-292.586759544,-959.916498311,-11.6323908021,2.6485862186,-89.8514976976,-1133.51173553,-301.252055335,245.110595154,-146.351056772,-185.177925924,-187.064954902,-1092.3294723,-310.736556127,-149.303417869,-686.870300199,-1550.49105667,-253.706299781,-14.56434169,-541.60253839,-481.549156798,-320.360409252,-676.379502731,-603.996927148,-612.132666683,-238.210270793,-1001.32594658,-164.369069859,-741.551894658,-101.514128367,-364.379742184,-241.72529817,-192.742397854,-1611.3419129,-107.009795079,48.6513693638,157.49691619,-146.58564046,-594.842531384,-40.6179518663,-50.329594501
650,178768.238964,84500,104141.07753,19641.0775299,-1204.38650693,-2081.73356261,-2153.94153377,-284.112064067,-1814.36339375,-938.94101813,-4377.67758266,-1995.12050785,-2925.98439568,-341.746343944,-501.549666714,-2046.54049742,-1123.2511458,-436.833558293,-1306.04341081,-774.701450282,-1429.83000487,-1022.41938249,-1361.97101111,-747.021725059,-2646.62456383,-571.877416539,-713.049944435,-435.561908184,-348.387314052,-252.700911359,-1592.18513847,-799.535020375,-1550.38527812,-595.256604541,-469.452389172,-522.52682743,-2517.26277881,-694.546168839,-608.748741573,-1653.45680414,-3482.89120662,-872.010326968,-226.622628104,-1463.69883006,-1318.6083034,-333.638161497,-1589.88481305,-1857.02016542,-1557.38335201,-848.238820578,-2368.3884515,-842.945645548,-1968.97751064,-731.703654478,-836.662342661,-752.46833595,-397.690295305,-3944.82671478,-342.614676022,-607.397232172,-797.291512275,-352.650605534,-1735.6225717,-303.936931704,-254.261773683
888,178768.238964,135500,161149.242555,25649.2425551,-533.521741342,-638.46388606,621.856110655,231.418696914,-102.505048211,1028.94317344,-3910.53393416,-1142.4856699,-2322.7343757,502.060724489,556.951273769,-1010.89860384,274.425166135,136.569401482,53.2182207243,523.112009997,445.794150193,354.169689228,555.110586588,-102.381176538,-1788.83834035,216.451776916,354.566533568,400.246974533,192.943702507,122.912623719,407.326516738,122.561233542,798.843017265,58.0756413492,115.661528597,427.571159902,-1974.89149752,-192.961538729,-31.780950705,-1218.84719939,-2643.97153805,-440.476725213,234.263955644,-1192.43163935,-718.859894631,597.79159477,293.97778553,-62.7539139394,-479.602462677,-233.128547945,-1935.5407831,-330.994728478,-1072.87362939,-419.584043064,-262.252491609,160.633635539,164.846430021,-3360.0536797,94.686757125,421.321702697,508.80142653,194.526772538,-1016.56578185,73.7452772497,275.552162966
