PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived,Title
332,1 class,male,45.5,0,0,,28.5,C,S,0,Mr
734,2 class,male,23.0,0,0,,13.0,n,S,0,Mr
383,3 class,male,32.0,0,0,STONO,7.925,n,S,0,Mr
705,3 class,male,26.0,1,0,,7.8542,n,S,0,Mr
814,3 class,female,6.0,4,2,,31.275,n,S,0,Miss
119,1 class,male,24.0,0,1,PC,247.5208,B,C,0,Mr
537,1 class,male,45.0,0,0,,26.55,B,S,0,Major
362,2 class,male,29.0,1,0,SCPARIS,27.7208,n,C,0,Mr
30,3 class,male,,0,0,,7.8958,n,S,0,Mr
56,1 class,male,,0,0,,35.5,C,S,1,Mr
866,2 class,female,42.0,0,0,,13.0,n,S,1,Mrs
596,3 class,male,36.0,1,1,,24.15,n,S,0,Mr
240,2 class,male,33.0,0,0,SCOW,12.275,n,S,0,Mr
722,3 class,male,17.0,1,0,,7.0542,n,S,0,Mr
82,3 class,male,29.0,0,0,,9.5,n,S,1,Mr
260,2 class,female,50.0,0,1,,26.0,n,S,1,Mrs
487,1 class,female,35.0,1,0,,90.0,C,S,1,Mrs
717,1 class,female,38.0,0,0,PC,227.525,C,C,1,Miss
801,2 class,male,34.0,0,0,,13.0,n,S,0,Mr
782,1 class,female,17.0,1,0,,57.0,B,S,1,Mrs
543,3 class,female,11.0,4,2,,31.275,n,S,0,Miss
327,3 class,male,61.0,0,0,,6.2375,n,S,0,Mr
535,3 class,female,30.0,0,0,,8.6625,n,S,0,Miss
536,2 class,female,7.0,0,2,FCC,26.25,n,S,1,Miss
484,3 class,female,63.0,0,0,,9.5875,n,S,1,Mrs
763,3 class,male,20.0,0,0,,7.2292,n,C,1,Mr
534,3 class,female,,0,2,,22.3583,n,C,1,Mrs
714,3 class,male,29.0,0,0,,9.4833,n,S,0,Mr
391,1 class,male,36.0,1,2,,120.0,B,S,1,Mr
496,3 class,male,,0,0,,14.4583,n,C,0,Mr
483,3 class,male,50.0,0,0,A,8.05,n,S,0,Mr
378,1 class,male,27.0,0,2,,211.5,C,C,0,Mr
366,3 class,male,30.0,0,0,C,7.25,n,S,0,Mr
413,1 class,female,33.0,1,0,,90.0,C,Q,1,Miss
469,3 class,male,,0,0,,7.725,n,Q,0,Mr
410,3 class,female,,3,1,,25.4667,n,S,0,Miss
8,3 class,male,2.0,3,1,,21.075,n,S,0,Master
581,2 class,female,25.0,1,1,,30.0,n,S,1,Miss
