Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
39,8000.0,RL,8.24621125124,8.97739897818,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,125.0,343.0,7449150177.0,8084294343.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,34645976.0,1057.0,GasA,TA,Y,SBrkr,32.511536414,0.0,0.0,32.511536414,1.0,1.0,1.0,0.0,9.0,1.0,Gd,5.0,Typ,0.0,,Detchd,7449150177.0,Unf,1.0,246.0,TA,TA,Y,0.0,3.73251115682,0.0,0.0,0.0,0.0,,,,0.0,1.0,8120601000.0,WD,Abnorml,109000
788,216000.0,RL,8.71779788708,9.22444049635,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,343.0,125.0,8048096064.0,8048096064.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,656.0,Unf,0.0,27000000.0,956.0,GasA,Ex,Y,SBrkr,30.9192496675,1435249152.0,0.0,45.6508488421,1.0,1.0,4.0,1.0,16.0,1.0,Gd,8.0,Typ,0.0,,BuiltIn,8048096064.0,RFn,4.0,618.0,TA,TA,Y,0.0,3.55689330449,0.0,0.0,0.0,0.0,,,,0.0,1.0,8120601000.0,WD,Normal,233000
1326,27000.0,RM,6.32455532034,8.1986394553,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,64.0,64.0,7100029448.0,7414875000.0,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0.0,Unf,0.0,504358336.0,796.0,GasA,Fa,N,SBrkr,28.2134719593,0.0,0.0,28.2134719593,0.0,1.0,1.0,0.0,4.0,1.0,TA,5.0,Typ,0.0,,,,,0.0,0.0,,,N,0.0,0.0,4.64158883361,0.0,0.0,0.0,,MnPrv,,0.0,1.0,8096384512.0,WD,Normal,55000
1299,216000.0,RL,16.5745466661,10.9882871642,Pave,,IR3,Bnk,AllPub,Corner,Gtl,Edwards,Feedr,Norm,1Fam,2Story,1000.0,125.0,8096384512.0,8096384512.0,Hip,ClyTile,Stucco,Stucco,Stone,786.069689869,Ex,TA,PConc,Ex,TA,Gd,GLQ,3878.61800531,Unf,0.0,101194696.0,4598.999627,GasA,Ex,Y,SBrkr,61.7581954358,857375000.0,0.0,70.4883683307,1.41421356237,1.0,4.0,1.0,9.0,1.0,Ex,11.9960936308,Typ,1.25992104989,Gd,Attchd,8096384512.0,Fin,4.0,1341.7797273,TA,TA,Y,14.6287388383,6.63428743687,0.0,0.0,0.0,3.91486764117,Gd,,,0.0,1.0,8096384512.0,New,Partial,160000
152,8000.0,RL,10.3440804328,9.5389964274,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,512.0,125.0,8084294343.0,8096384512.0,Hip,CompShg,VinylSd,VinylSd,Stone,436.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1400.0,Unf,0.0,29791000.0,1710.0,GasA,Ex,Y,SBrkr,41.3521462563,0.0,0.0,41.3521462563,1.0,1.0,4.0,0.0,4.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,8084294343.0,RFn,9.0,866.0,TA,TA,Y,0.0,4.67232872836,0.0,0.0,0.0,0.0,,,,0.0,1.0,8096384512.0,New,Partial,372402
78,125000.0,RM,7.07106781187,9.06357899058,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,125.0,125.0,7392083392.0,8012006001.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,336.0,GLQ,68921.0,25672375.0,672.0,GasA,TA,Y,SBrkr,32.7414110875,9663597.0,0.0,35.8468966579,1.0,1.0,1.0,0.0,4.0,1.0,TA,6.0,Min1,0.0,,Detchd,7392083392.0,Unf,1.0,240.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,1.0,8096384512.0,WD,Normal,127000
110,8000.0,RL,10.246950766,9.37169362233,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,216.0,216.0,7727161833.0,7727161833.0,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1477648619.0,1844.0,GasA,Ex,Y,SBrkr,42.9418211072,0.0,0.0,42.9418211072,0.0,1.0,4.0,0.0,9.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,7727161833.0,RFn,4.0,546.0,TA,TA,Y,0.0,4.95967566384,0.0,0.0,0.0,0.0,,MnPrv,,0.0,1.0,8120601000.0,COD,Normal,190000
10,6859000.0,RL,7.07106781187,8.91193433616,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,125.0,216.0,7290099019.0,7414875000.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,2744000.0,991.0,GasA,Ex,Y,SBrkr,32.8176781628,0.0,0.0,32.8176781628,1.0,1.0,1.0,0.0,4.0,4.0,TA,5.0,Typ,1.25992104989,TA,Attchd,7290099019.0,RFn,1.0,205.0,Gd,TA,Y,0.0,1.58740105197,0.0,0.0,0.0,0.0,,,,0.0,1.0,8096384512.0,WD,Normal,118000
997,8000.0,RL,,9.27415988469,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,125.0,216.0,7541066681.0,7541066681.0,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,915.0,Unf,0.0,2460375.0,1050.0,GasA,TA,Y,SBrkr,32.403703492,0.0,0.0,32.403703492,1.0,1.0,1.0,0.0,9.0,1.0,TA,6.0,Typ,0.0,,Attchd,7541066681.0,Unf,1.0,368.0,TA,TA,Y,0.0,6.8038174394,0.0,0.0,0.0,0.0,,,,0.0,1.0,8072216216.0,COD,Normal,136500
886,1728000.0,FV,7.07106781187,8.54071438646,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,729.0,125.0,7988005999.0,8000000000.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,60.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1238.0,Unf,0.0,97336000.0,1698.0,GasA,Ex,Y,SBrkr,41.3400532172,0.0,0.0,41.3400532172,1.0,1.0,4.0,0.0,4.0,1.0,Gd,5.0,Typ,1.0,TA,Attchd,7988005999.0,Fin,4.0,506.0,TA,TA,Y,9.8488578018,4.02072575859,0.0,0.0,0.0,0.0,,,,0.0,1.0,8096384512.0,CWD,Abnorml,328900
1312,8000.0,RL,8.24621125124,9.0840966454,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,343.0,125.0,8060150125.0,8084294343.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,42508549.0,1274.0,GasA,Ex,Y,SBrkr,35.6931365951,0.0,0.0,35.6931365951,1.0,1.0,4.0,0.0,9.0,1.0,Gd,6.0,Typ,0.0,,Attchd,8060150125.0,RFn,4.0,508.0,TA,TA,Y,16.2480768093,4.61043629206,0.0,0.0,0.0,0.0,,,,0.0,1.0,8084294343.0,New,Partial,203000
