PassengerId,Age,SibSp,Parch,Fare,Survived,Pclass_dum_3 class,Pclass_dum_1 class,Sex_dum_male,Ticket_dum_0,Ticket_dum_1,Ticket_dum_2,Ticket_dum_3,Ticket_dum_4,Cabin_dum_0,Cabin_dum_1,Cabin_dum_2,Cabin_dum_3,Embarked_dum_0,Embarked_dum_1,Embarked_dum_2,Title_dum_0,Title_dum_1,Title_dum_2,Title_dum_3
675,32.8417867659,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,32.8417867659,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,49.0,0,0,0.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
733,32.8417867659,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,32.8417867659,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,25.0,0,0,0.0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
303,19.0,0,0,0.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,36.0,0,0,0.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
634,41.7631882303,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,40.0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
807,39.0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
278,32.8417867659,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,41.8929343885,0,0,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
379,20.0,0,0,4.0125,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
873,33.0,0,0,5.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
327,61.0,0,0,6.2375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,34.5,0,0,6.4375,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
819,43.0,0,0,6.45,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
203,34.0,0,0,6.4958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,18.0,1,0,6.4958,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,18.0,0,0,6.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
144,19.0,0,0,6.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
412,32.845746838,0,0,6.8583,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
826,32.845746838,0,0,6.95,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,45.0,0,0,6.975,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,27.0,0,0,6.975,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,25.0,0,0,7.05,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
885,25.0,0,0,7.05,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,20.0,0,0,7.05,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
722,17.0,1,0,7.0542,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,51.0,0,0,7.0542,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,22.0,0,0,7.125,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
762,41.0,0,0,7.125,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
128,24.0,0,0,7.1417,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
599,26.2039560497,0,0,7.225,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
