PassengerId,SibSp,Parch,Fare,Survived,Sex_dum_male,Cabin_dum_0,Cabin_dum_1,Embarked_dum_0,Title_dum_0,Title_dum_1
675,0,0,0.0,0,1,0,0,0,0,0
467,0,0,0.0,0,1,0,0,0,0,0
598,0,0,0.0,0,1,0,0,0,0,0
733,0,0,0.0,0,1,0,0,0,0,0
414,0,0,0.0,0,1,0,0,0,0,0
272,0,0,0.0,1,1,0,0,0,0,0
303,0,0,0.0,0,1,0,0,0,0,0
180,0,0,0.0,0,1,0,0,0,0,0
634,0,0,0.0,0,1,0,0,0,0,0
264,0,0,0.0,0,1,0,1,0,0,0
807,0,0,0.0,0,1,0,1,0,0,0
278,0,0,0.0,0,1,0,0,0,0,0
816,0,0,0.0,0,1,0,1,0,0,0
379,0,0,4.0125,0,1,0,0,1,0,0
873,0,0,5.0,0,1,0,1,0,0,0
327,0,0,6.2375,0,1,0,0,0,0,0
844,0,0,6.4375,0,1,0,0,1,0,0
819,0,0,6.45,0,1,0,0,0,0,0
203,0,0,6.4958,0,1,0,0,0,0,0
372,1,0,6.4958,0,1,0,0,0,0,0
655,0,0,6.75,0,0,0,0,0,1,0
144,0,0,6.75,0,1,0,0,0,0,0
412,0,0,6.8583,0,1,0,0,0,0,0
826,0,0,6.95,0,1,0,0,0,0,0
130,0,0,6.975,0,1,0,0,0,0,0
805,0,0,6.975,1,1,0,0,0,0,0
785,0,0,7.05,0,1,0,0,0,0,0
885,0,0,7.05,0,1,0,0,0,0,0
132,0,0,7.05,0,1,0,0,0,0,0
722,1,0,7.0542,0,1,0,0,0,0,0
632,0,0,7.0542,0,1,0,0,0,0,0
244,0,0,7.125,0,1,0,0,0,0,0
762,0,0,7.125,0,1,0,0,0,0,0
128,0,0,7.1417,1,1,0,0,0,0,0
599,0,0,7.225,0,1,0,0,1,0,0
20,0,0,7.225,1,0,0,0,1,0,1
355,0,0,7.225,0,1,0,0,1,0,0
662,0,0,7.225,0,1,0,0,1,0,0
554,0,0,7.225,1,1,0,0,1,0,0
204,0,0,7.225,0,1,0,0,1,0,0
27,0,0,7.225,0,1,0,0,1,0,0
694,0,0,7.225,0,1,0,0,1,0,0
876,0,0,7.225,1,0,0,0,1,1,0
523,0,0,7.225,0,1,0,0,1,0,0
368,0,0,7.2292,1,0,0,0,1,0,1
58,0,0,7.2292,0,1,0,0,1,0,0
833,0,0,7.2292,0,1,0,0,1,0,0
763,0,0,7.2292,1,1,0,0,1,0,0
799,0,0,7.2292,0,1,0,0,1,0,0
532,0,0,7.2292,0,1,0,0,1,0,0
353,1,1,7.2292,0,1,0,0,1,0,0
61,0,0,7.2292,0,1,0,0,1,0,0
525,0,0,7.2292,0,1,0,0,1,0,0
37,0,0,7.2292,1,1,0,0,1,0,0
569,0,0,7.2292,0,1,0,0,1,0,0
860,0,0,7.2292,0,1,0,0,1,0,0
781,0,0,7.2292,1,0,0,0,1,1,0
593,0,0,7.25,0,1,0,0,0,0,0
95,0,0,7.25,0,1,0,0,0,0,0
426,0,0,7.25,0,1,0,0,0,0,0
366,0,0,7.25,0,1,0,0,0,0,0
377,0,0,7.25,1,0,0,0,0,1,0
471,0,0,7.25,0,1,0,0,0,0,0
492,0,0,7.25,0,1,0,0,0,0,0
213,0,0,7.25,0,1,0,0,0,0,0
321,0,0,7.25,0,1,0,0,0,0,0
1,1,0,7.25,0,1,0,0,0,0,0
155,0,0,7.3125,0,1,0,0,0,0,0
664,0,0,7.4958,0,1,0,0,0,0,0
787,0,0,7.4958,1,0,0,0,0,1,0
479,0,0,7.5208,0,1,0,0,0,0,0
650,0,0,7.55,1,0,0,0,0,1,0
649,0,0,7.55,0,1,0,0,0,0,0
503,0,0,7.6292,0,0,0,0,0,1,0
716,0,0,7.65,0,1,1,0,0,0,0
107,0,0,7.65,1,0,0,0,0,1,0
700,0,0,7.65,0,1,1,0,0,0,0
76,0,0,7.65,0,1,1,0,0,0,0
469,0,0,7.725,0,1,0,0,0,0,0
630,0,0,7.7333,0,1,0,0,0,0,0
422,0,0,7.7333,0,1,0,0,0,0,0
157,0,0,7.7333,1,0,0,0,0,1,0
698,0,0,7.7333,1,0,0,0,0,1,0
728,0,0,7.7375,1,0,0,0,0,1,0
704,0,0,7.7417,0,1,0,0,0,0,0
261,0,0,7.75,0,1,0,0,0,0,0
526,0,0,7.75,0,1,0,0,0,0,0
594,0,2,7.75,0,0,0,0,0,1,0
127,0,0,7.75,0,1,0,0,0,0,0
277,0,0,7.75,0,0,0,0,0,1,0
776,0,0,7.75,0,1,0,0,0,0,0
275,0,0,7.75,1,0,0,0,0,1,0
